"callstartdatetime","userref","action_conversion","product_conversion","value_conversion"
"2019-09-23T14:51:51","ga124747781881569211690","1","Diplomado en Cocina","268.65"
"2019-09-23T12:49:49","ga1211501799951569124206","1","Diplomado en Repostería","87.55"
"2019-09-23T15:30:10","ga12219249551569250464","1","Diplomado en Nutrición","249.08"
"2019-09-23T15:35:45","ga1217275160551569249331","1","Diplomado en Nutrición","198.90"
"2019-09-23T13:24:26","ga126153811831569164049","1","Diplomado en Repostería","360.00"
"2019-09-23T16:05:40","ga128684733611569123247","1","Diplomado en Repostería","146.27"
"2019-09-23T17:03:01","ga1213619306021569189829","1","Diplomado en Cocina","87.55"
"2019-09-23T17:05:57","ga125443472681569069076","1","Diplomado en Repostería","87.55"
"2019-09-23T19:41:03","ga1219085783581568062863","1","Diplomado en Emprendimiento y Gestión Gastronómica","300.00"
"2019-09-23T19:43:14","ga128690061561565749569","1","Diplomado en Cocina","365.00"
"2019-09-23T20:05:20","ga127885858861568683975","1","Diplomado en Organización de Eventos","87.55"
"2019-09-23T20:36:14","ga121852639901568207303","1","Diplomado en Nutrición","175.52"
"2019-09-23T18:27:46","ga124704932491568257226","1","Diplomado en Repostería","127.50"
"2019-09-23T21:20:55","ga1216177763011567620010","1","Diplomado en Organización de Eventos","87.55"
"2019-09-23T21:47:08","ga127067701001569104485","1","Diplomado en Repostería","87.55"
"2019-09-23T23:42:44","ga1219557717971569248681","1","Diplomado en Organización de Eventos","282.09"
"2019-09-23T23:56:23","ga1217415864591569257372","1","Diplomado en Repostería","150.00"
"2019-09-24T00:16:25","ga12962583161569270891","1","Diplomado en Organización de Eventos","292.50"
"2019-09-24T00:49:24","ga125527851601568862931","1","Diplomado en Organización de Eventos","150.00"
"2019-09-24T01:20:08","ga1211882328891569262356","1","Diplomado en Repostería","282.09"
"2019-09-24T01:26:02","ga1216779781831565195441","1","Diplomado en Organización de Eventos","249.08"
"2019-09-24T01:42:00","ga129211495251569257392","1","Diplomado en Organización de Eventos","300.00"
"2019-09-24T02:24:43","ga1215912328301569289794","1","Diplomado en Organización de Eventos","146.27"
"2019-09-24T13:43:46","ga1215585935291569331276","1","Diplomado en Cocina","420.00"
"2019-09-24T16:10:52","ga12585489841569261328","1","Diplomado en Nutrición","360.00"
"2019-09-24T16:40:13","ga1216785905671569270275","1","Diplomado en Cocina","255.50"
"2019-09-24T17:28:51","ga1214453572251569258057","1","Diplomado en Emprendimiento y Gestión Gastronómica","351.67"
"2019-09-24T18:05:57","ga1216503654721569339547","1","Diplomado en Organización de Eventos","180.00"
"2019-09-23T13:44:47","ga12576067461569162916","1","Diplomado en Cocina Mexicana","249.08"
"2019-09-23T15:56:13","ga127091021041567724744","1","Diplomado en Emprendimiento y Gestión Gastronómica","289.89"
"2019-09-23T16:30:08","ga129309340001569177778","1","Diplomado en Repostería","268.65"
"2019-09-23T18:47:46","ga121507600551569263511","1","Diplomado en Organización de Eventos","270.00"
"2019-09-23T19:42:23","ga1216671796801569265795","1","Diplomado en Organización de Eventos","255.50"
"2019-09-23T20:04:18","ga1214472296891568748499","1","Diplomado en Cocina Mexicana","151.18"
"2019-09-23T18:04:54","ga128295549781569198046","1","Diplomado en Repostería","268.65"
"2019-09-23T21:15:12","ga125313518531551403242","1","Diplomado en Repostería","292.50"
"2019-09-23T21:36:47","ga12218575431569269870","1","Diplomado en Organización de Eventos","87.55"
"2019-09-23T22:35:29","ga127771917321569203651","1","Diplomado en Cocina","365.00"
"2019-09-23T22:39:40","ga1220151173751561748855","1","Diplomado en Nutrición","292.50"
"2019-09-23T23:31:50","ga1212758275651569277174","1","Diplomado en Organización de Eventos","249.08"
"2019-09-24T00:16:13","ga1216844342531568242011","1","Diplomado en Cocina","249.08"
"2019-09-24T01:11:22","ga1218964096851565220214","1","Diplomado en Organización de Eventos","146.27"
"2019-09-24T01:08:08","ga122121722461569282007","1","Diplomado en Repostería","176.86"
"2019-09-24T01:52:31","ga1216206799151569165363","1","Diplomado en Repostería","255.50"
"2019-09-24T14:24:51","ga127349041171568509406","1","Diplomado en Emprendimiento y Gestión Gastronómica","288.50"
"2019-09-24T15:45:33","ga122061708851569338318","1","Diplomado en Organización de Eventos","360.00"
"2019-09-24T15:18:57","ga1213411245231568166958","1","Diplomado en Nutrición","178.50"
"2019-09-24T18:22:31","ga1213304145161569202978","1","Diplomado en Cocina","276.92"
"2019-09-24T18:35:15","ga122183093331565537801","1","Diplomado en Repostería","227.69"
"2019-09-24T20:52:23","ga129508604491568164390","1","Diplomado en Organización de Eventos","60.91"
"2019-09-24T21:03:10","ga1220551629481569012206","1","Diplomado en Repostería","148.36"
"2019-09-24T22:08:35","ga1210911741421569332164","1","Diplomado en Cocina","255.50"
"2019-09-24T22:23:48","ga127309030111569273276","1","Diplomado en Emprendimiento y Gestión Gastronómica","199.27"
"2019-09-24T19:52:42","ga1210287919761568403003","1","Diplomado en Emprendimiento y Gestión Gastronómica","87.13"
"2019-09-24T19:51:58","ga123799740581569158040","1","Diplomado en Organización de Eventos","234.41"
"2019-09-25T00:05:54","ga1214461667391568848029","1","Diplomado en Repostería","87.13"
"2019-09-25T00:48:30","ga122564538661569365976","1","Diplomado en Organización de Eventos","87.13"
"2019-09-25T01:15:00","ga128356869161569370458","1","Diplomado en Organización de Eventos","293.02"
"2019-09-25T14:27:42","ga1213785170521568764525","1","Diplomado en Repostería","60.59"
"2019-09-25T15:07:32","ga1218002527521569369768","1","Diplomado en Cocina","86.69"
"2019-09-25T19:38:57","ga128843077761560176379","1","Diplomado en Cocina","287.02"
"2019-09-25T15:58:21","ga124670011081569424700","1","Diplomado en Nutrición","361.74"
"2019-09-25T18:37:46","ga1211253268851569430745","1","Diplomado en Repostería","248.05"
"2019-09-25T18:37:59","ga1214063020431569174831","1","Diplomado en Emprendimiento y Gestión Gastronómica","86.69"
"2019-09-25T16:38:39","ga1212845968991565729937","1","Diplomado en Organización de Eventos","86.69"
"2019-09-25T19:09:13","ga124216645361567873394","1","Diplomado en Nutrición",".00"
"2019-09-25T19:17:49","ga129938515031569033339","1","Diplomado en Organización de Eventos","291.31"
"2019-09-25T19:41:55","ga123806951111569437321","1","Diplomado en Emprendimiento y Gestión Gastronómica","248.05"
"2019-09-25T20:04:04","ga126896634071569432530","1","Diplomado en Repostería","150.00"
"2019-09-25T17:55:38","ga1210103996291568936642","1","Diplomado en Organización de Eventos","86.69"
"2019-09-25T21:38:48","ga1215245157941569444206","1","Diplomado en Organización de Eventos","86.69"
"2019-09-25T21:54:37","ga123383727191569446919","1","Diplomado en Organización de Eventos","60.59"
"2019-09-25T21:59:50","ga12860475781569381026","1","Diplomado en Emprendimiento y Gestión Gastronómica","60.59"
"2019-09-25T23:03:42","ga126512622401569449813","1","Diplomado en Cocina","291.31"
"2019-09-26T00:13:39","ga127789043771569451670","1","Diplomado en Organización de Eventos","300.00"
"2019-09-26T00:26:23","ga1219991973551569359578","1","Diplomado en Cocina","60.59"
"2019-09-26T01:03:09","ga1214253190301569362072","1","Diplomado en Repostería","86.69"
"2019-09-26T02:08:42","ga1216605473681569461505","1","Diplomado en Cocina","480.00"
"2019-09-26T03:03:58","ga122194519221562359761","1","Diplomado en Organización de Eventos","279.88"
"2019-09-26T14:13:48","ga1221092269661569359498","1","Diplomado en Organización de Eventos","405.98"
"2019-09-26T17:17:37","ga1217891390231567994909","1","Diplomado en Emprendimiento y Gestión Gastronómica","87.07"
"2019-09-26T17:30:57","ga1215678663011569008042","1","Diplomado en Nutrición","232.01"
"2019-09-24T21:36:26","ga121491568041567701854","1","Diplomado en Organización de Eventos","60.91"
"2019-09-24T21:37:47","ga1215934406371569329435","1","Diplomado en Organización de Eventos","224.18"
"2019-09-24T19:09:24","ga1218916409711569336289","1","Diplomado en Organización de Eventos","360.00"
"2019-09-24T19:46:35","ga1215182607381569023389","1","Diplomado en Repostería","180.00"
"2019-09-24T19:50:15","ga1210256488561550176497","1","Diplomado en Organización de Eventos","60.91"
"2019-09-24T23:13:25","ga125715992211569331919","1","Diplomado en Repostería","87.13"
"2019-09-24T23:16:58","ga125672933331569353427","1","Diplomado en Organización de Eventos","146.56"
"2019-09-24T20:24:10","ga1212063421551569288434","1","Diplomado en Organización de Eventos","600.00"
"2019-09-24T23:33:48","ga1216060054521569366110","1","Diplomado en Cocina","255.50"
