"callstartdatetime","userref","action_conversion","product_conversion","value_conversion"
"2019-10-01T18:26:54","ga126441156111569531127","1","Diplomado en Organización de Eventos","231.62"
"2019-10-01T18:42:09","ga128222842521569595583","1","Diplomado en Nutrición","202.68"
"2019-09-30T16:28:56","ga123134598011569630037","1","Diplomado en Nutrición","404.36"
"2019-09-30T16:55:04","ga123087278381569859695","1","Diplomado en Organización de Eventos","225.39"
"2019-09-30T15:38:13","ga1221404271371568916529","1","Diplomado en Organización de Eventos","60.29"
"2019-09-30T18:23:36","ga1216015738121569866446","1","Diplomado en Nutrición","404.36"
"2019-09-30T18:36:46","ga1213697596101565916668","1","Diplomado en Repostería","86.25"
"2019-09-30T18:43:06","ga128035068161569795606","1","Diplomado en Cata de Vinos","300.00"
"2019-09-30T20:59:31","ga129323392201569855945","1","Diplomado en Nutrición","238.18"
"2019-09-30T19:17:32","ga124031234741569868500","1","Diplomado en Repostería","150.00"
"2019-09-30T19:39:50","ga1215763463981569864153","1","Diplomado en Organización de Eventos","86.25"
"2019-09-30T20:11:45","ga1217787487531569722939","1","Diplomado en Nutrición","264.65"
"2019-09-30T21:00:51","ga12791232501568869737","1","Diplomado en Nutrición","115.52"
"2019-09-30T21:07:44","ga1212654070701569713895","1","Diplomado en Nutrición","357.00"
"2019-09-30T21:37:20","ga121484649321566429783","1","Diplomado en Organización de Eventos","88.64"
"2019-09-30T21:44:52","ga129115736001569427485","1","Diplomado en Nutrición","358.14"
"2019-09-30T21:58:59","ga1218852257691569421662","1","Diplomado en Nutrición","86.25"
"2019-09-30T23:41:04","ga125843131841568853928","1","Diplomado en Repostería","86.25"
"2019-09-30T23:53:01","ga12421121711569812040","1","Diplomado en Nutrición","172.50"
"2019-10-01T00:06:05","ga1221224540451569867724","1","Diplomado en Emprendimiento y Gestión Gastronómica","360.00"
"2019-10-01T00:36:21","ga1212616326881568230809","1","Diplomado en Emprendimiento y Gestión Gastronómica","117.99"
"2019-10-01T00:30:42","ga1217340701561569770542","1","Diplomado en Organización de Eventos","86.25"
"2019-10-01T00:58:47","ga122768446121558409714","1","Diplomado en Nutrición","300.00"
"2019-10-01T00:54:20","ga123121097271569857161","1","Diplomado en Organización de Eventos","245.97"
"2019-10-01T01:05:57","ga128024327041569884341","1","Diplomado en Organización de Eventos","480.00"
"2019-10-01T01:45:47","ga1210735956151569528506","1","Diplomado en Nutrición","225.39"
"2019-10-01T01:43:17","ga1210845597981569892424","1","Diplomado en Organización de Eventos","360.00"
"2019-10-01T01:51:29","ga12801696331569870849","1","Diplomado en Organización de Eventos","88.64"
"2019-10-01T18:21:44","ga126701535461557029155","1","Diplomado en Cocina","60.64"
"2019-10-01T18:32:52","ga125072553751569617443","1","Diplomado en Nutrición","231.55"
